It Takes Two,"It Takes Two에서 생애 가장 정신없는 여정을 시작하세요. 친구가 무료로 참가할 수 있게 친구 패스*로 초대하고, 함께 힘을 합쳐서 수많은 유쾌하고 획기적인 게임 플레이 챌린지를 헤쳐나가세요.",2021년 3월 25일,"₩ 44,000","[협동,어드벤처,퍼즐,분할 화면,퍼즐 플랫폼 게임]"
Apex 레전드™,"Apex 레전드는 Respawn Entertainment에서 제작한 어워드 수상작 무료 배틀 로얄 팀 슈팅 게임입니다. 게임에 계속해서 추가되는 전설적인 캐릭터들의 강력한 능력을 마스터하고 깊이 있는 전술적 분대 플레이, 새롭게 진화하는 게임플레이를 지닌 배틀 로얄의 혁신을 경험하십시오.",2020년 11월 4일,무료,"[무료,배틀 로얄,멀티플레이어,슈팅,1인칭]"
Valheim,북구 신화와 바이킹 문화에 기반한 판타지 세계를 배경으로 펼쳐지는 생존 및 탐험 게임.,2021년 2월 2일,"₩ 20,500","[오픈 월드 생존 제작,온라인 협동,생존,오픈 월드,크래프팅]"
The Binding of Isaac: Rebirth,"The Binding of Isaac: Rebirth is a randomly generated action RPG shooter with heavy Rogue-like elements. Following Isaac on his journey players will find bizarre treasures that change Isaac’s form giving him super human abilities and enabling him to fight off droves of mysterious creatures, discover secrets and fight his way to safety.",2014년 11월 4일,"₩ 15,500","[액션 로그라이크,로그라이크,인디,리플레이 가치,어려움]"
Tom Clancy's Rainbow Six® Siege,"Tom Clancy's Rainbow Six Siege는 명성이 자자한 FPS 시리즈의 최신작으로, Ubisoft Montreal 스튜디오에서 개발하였습니다.",2015년 12월 1일,"₩ 22,000","[1인칭 슈팅,히어로 슈터,멀티플레이어,작전,슈팅]"
PLAYERUNKNOWN'S BATTLEGROUNDS,"PLAYERUNKNOWN’S BATTLEGROUNDS는 배틀로얄 게임으로, 외딴 섬에서 총 100명의 플레이어가 다양한 무기와 전략을 이용하여 마지막 1명이 살아남는 순간까지 전투를 하게 됩니다.",2017년 12월 21일,"₩ 32,000","[생존,슈팅,멀티플레이어,배틀 로얄,1인칭 슈팅]"
Counter-Strike: Global Offensive,"Counter-Strike: Global Offensive (CS: GO)는 12년 전 이 게임의 원작이 발매와 동시에 창조해낸 팀-기반 액션 게임플레이의 수준을 한층 더 끌어올렸습니다. CS: GO는 새 맵과 캐릭터, 그리고 새로운 무기체계를 도입했고 기존의 클래식 CS 콘텐츠(de_dust2 등)의 개선된 버전을 함께 제공합니다.",2012년 8월 21일,"₩ 17,200","[1인칭 슈팅,슈팅,멀티플레이어,경쟁,액션]"
Grand Theft Auto V,"PC용 Grand Theft Auto V는 각종 수상에 빛나는 로스 산토스와 블레인 카운티의 거대한 세상을 최대 4K 이상의 해상도로 둘러볼 수 있는 기회를 플레이어에게 제공하며, 초당 60프레임으로 게임을 실행할 수도 있습니다.",2015년 4월 14일,가격확인 불가,"[오픈 월드,액션,멀티플레이어,자동차 시뮬레이션,범죄]"
Warframe,"워프레임은 서서히 전개되는 공상 과학 세계관을 무대로 하는 부분 유료화 온라인 액션 게임입니다. 당신의 친구들과 함께 전 태양계에 걸친 PVE 미션에 참여하고, 워프레임의 파워에 통달해 보세요. 당신의 세계를 위협하는 적들에 맞서 홀로, 혹은 동료들과 함께 싸우실 수 있습니다.",2013년 3월 25일,무료,"[무료,약탈 슈팅,액션,협동,멀티플레이어]"
NieR Replicant™ ver.1.22474487139...,"『NieR Replicant ver.1.22474487139...』는 2010년 4월에 발매된 'NieR Replicant'를 기본으로 하여 버전업한 작품이며, 2017년 2월 발매된 'NieR:Automata'의 세계가 만들어지게 된 계기가 되는 이야기입니다.",2021년 4월 23일,"₩ 69,800","[웅장한 사운드트랙,풍부한 스토리,액션,롤플레잉,어드벤처]"
